Book-Title,Author-Name,Description,Level,Image-URL,ISBN,Ratings,Genres
Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig,"The leading textbook on artificial intelligence, covering all the major techniques and applications.",advanced,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1385600294i/27543.jpg,137903952,4.1,AI
Deep Learning,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville","A comprehensive introduction to deep learning, the fastest-growing field of machine learning.",intermediate,"https://m.media-amazon.com/images/I/61qbj4KwauL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",262035618,4.5,AI
Artificial Intelligence: A Modern Approach 3rd Edition,Russell and Norvig,"A shorter and more accessible introduction to artificial intelligence, suitable for a first course on the subject.",beginners,"https://m.media-amazon.com/images/I/41HT2wMcACL._SX384_BO1,204,203,200_.jpg",136042597,0,AI
Neural Networks and Deep Learning,Michael Nielsen,"Neural Networks and Deep Learning is a free online book. The book will teach you about:
* Neural networks, a beautiful biologically-inspired programming paradigm which enables a computer to learn from observational data
* Deep learning, a powerful set of techniques for learning in neural networks

Neural networks and deep learning currently provide the best solutions to many problems in image recognition, speech recognition, and natural language processing. This book will teach you the core concepts behind neural networks and deep learning.",intermediate,https://coursesteach.com/pluginfile.php/4633/course/overviewfiles/Michael%20Nielsen.jpg,1139495488,4.4,AI
"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2nd Edition","Sebastian Raschka, Vahid Mirjalili","A beginner's guide to machine learning with Python, covering the basics of supervised and unsupervised learning.",beginners,"https://m.media-amazon.com/images/I/41hc+wT0F3L._SX258_BO1,204,203,200_.jpg",9.78E+12,4.5,AI
Reinforcement Learning: An Introduction (Adaptive Computation and Machine Learning) (Adaptive Computation and Machine Learning series) second edition,Richard S. Sutton and Andrew G. Barto,"A classic textbook on reinforcement learning, covering the foundations and applications of the field.",advanced,"https://m.media-amazon.com/images/I/51-7xL6UtpL._SX387_BO1,204,203,200_.jpg",262193981,3,AI
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,Pedro Domingos,A popular science book that explores the history and future of machine learning and artificial intelligence.,beginners,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435790827i/24612233.jpg,465065708,4.3,AI
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron,A practical guide to machine learning using Python's scikit-learn and TensorFlow libraries.,intermediate,"https://m.media-amazon.com/images/I/51GcXOrWROL._SX379_BO1,204,203,200_.jpg",1492032646,2.3,AI
Machine Learning for Absolute Beginners,Oliver Theobald,A friendly introduction to machine learning for people with no prior background in the field.,beginners,"https://m.media-amazon.com/images/I/41KnH6vqp0L._SX331_BO1,204,203,200_.jpg",152095140X,4.2,AI
Introduction to Artificial Intelligence and Expert Systems,Dan W. Patterson,"A comprehensive introduction to artificial intelligence and expert systems, covering a wide range of topics and techniques.",intermediate,"https://m.media-amazon.com/images/I/417oWz7jjYL._SX298_BO1,204,203,200_.jpg",134771001,4.4,AI
"AI Algorithms, Data Structures, and Idioms in Prolog, Lisp, and Java",George F. Luger and William A. Stubblefield,"A comprehensive guide to artificial intelligence algorithms, data structures, and programming techniques, with a focus on Prolog, Lisp, and Java.",advanced,"https://m.media-amazon.com/images/I/51vkYf0PSqL._SX388_BO1,204,203,200_.jpg",136070477,5,AI
Artificial Intelligence Engines : A Tutorial Introduction to the Mathematics of Deep Learning,James V. Stone,"In this richly illustrated book, key neural network learning algorithms are explained informally first, followed by detailed mathematical analyses. Topics include both historically important neural networks (e.g. perceptrons), and modern deep neural networks (e.g. generative adversarial networks).",intermediate,"https://m.media-amazon.com/images/I/51TwZ+tYp7L._SY344_BO1,204,203,200_.jpg",956372813,4.1,AI
