User-ID,Location,Age,Genres,Author-Name,Last Book Read,ISBN,Ratings,Reading Frequency,Book Format,Receive Recommendations,Preferred Topics,Fiction/Non-Fiction
amber,Pakistan,22,science-fiction,Tariq Rashid,"Machine Learning for Absolute Beginners
",152095140x,4,Monthly,E-books,Yes,academic books,Non-Fiction
Alexa,Pakistan,29,AI,John Resig,Artificial Intelligence and Machine Learning for Business,1119245516,2,Monthly,E-books,Yes,academic books,Non-Fiction
amna_saleem,Pakistan,22,ML,John Resig,Machine Learning for Dummies,1119245516,3,Monthly,E-books,Yes,AI books,Fiction
user,Austria,30,AI,Martin Fowler,Python for Data Science,1718502206,2,Once a Week,Physical books,Yes,Python Porgramming books,Non-Fiction
murtasim,Pakistan,30,science-fiction,John Resig,"Python for Data Science
",1718502206,3,Monthly,E-books,Yes,academic books,Non-Fiction
aryan,Bangladesh,25,Data Science,Bjarne Stroustrup,Artificial Intelligence and Machine Learning for Business,1081544643,2,Once a Week,E-books,Yes,Machine learning and AI ,Non-Fiction
user,Austria,30,Cyber Security,Martin Fowler,Python for Data Science,1718502206,2,Once a Week,Physical books,Yes,Programmin books,Non-Fiction
sherry,Taiwan,24,science-fiction,Tariq Rashid,Broken Leaves by Richard M Pearson,1070488852,2,Occasionally,E-books,Yes,academic books,Fiction
amina,Pakistan,23,science-fiction,Bjarne Stroustrup,Machine Learning with R,1788295862,3,Monthly,E-books,Yes,Information Technology books,Non-Fiction
amnaafzal,Pakistan,23,ML,Bjarne Stroustrup,Python for Data Science,1718502206,2,Rarely,E-books,Yes,academic books,Fiction
kinza,Pakistan,21,AI,Tariq Rashid,"Make Your Own Neural Network
",1530826608,2,Monthly,E-books,Yes,academic books,Fiction
unza,Pakistan,22,AI,Martin Fowler,Artificial Intelligence and Machine Learning,9.79E+12,2,Monthly,E-books,Yes,academic books,Fiction
suman,Pakistan,22,Data Science,Ethem Alpaydin,Machine Learning for Dummies by John Paul Mueller and Luca M,1119245516,4,Monthly,Physical books,Yes,academic books,Non-Fiction
Rumaisa,Pakistan,22,Cyber Security,Mohamed Elgendy,Machine Learning for Dummies by John Paul Mueller and Luca M,1119245516,4,Once a Week,Physical books,Yes,Programmin books,Non-Fiction
fiza48,Pakistan,22,AI,Ethem Alpaydin,Machine Learning for Dummies by John Paul Mueller and Luca M,1119245516,4,Monthly,Physical books,Yes,Python Porgramming books,Non-Fiction
